"","year","momemp","sphere","variable","val","prop","prop_low","prop_upp"
"1",1976,"NO, NOT EMPLOYED","Public","jobopp","Conventional",0.287466462003107,0.252246247310996,0.322686676695218
"2",1976,"NO, NOT EMPLOYED","Public","jobopp","Feminist",0.712533537996893,0.677313323304782,0.747753752689004
"3",1976,"NO, NOT EMPLOYED","Public","lead","Conventional",0.172096589074658,0.144322229105815,0.199870949043501
"4",1976,"NO, NOT EMPLOYED","Public","lead","Feminist",0.827903410925342,0.800129050956499,0.855677770894185
"5",1976,"NO, NOT EMPLOYED","Family","hdecide","Conventional",0.422875553035141,0.383409487953054,0.462341618117228
"6",1976,"NO, NOT EMPLOYED","Family","hdecide","Feminist",0.577124446964859,0.537658381882772,0.616590512046946
"7",1976,"NO, NOT EMPLOYED","Family","home","Conventional",0.73169796887833,0.698601463078912,0.764794474677747
"8",1976,"NO, NOT EMPLOYED","Family","home","Feminist",0.26830203112167,0.235205525322253,0.301398536921088
"9",1976,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Public","jobopp","Conventional",0.236235294446494,0.197578554302237,0.274892034590751
"10",1976,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Public","jobopp","Feminist",0.763764705553506,0.725107965409249,0.802421445697763
"11",1976,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Public","lead","Conventional",0.188705882101576,0.152288145460936,0.225123618742216
"12",1976,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Public","lead","Feminist",0.811294117898424,0.774876381257784,0.847711854539064
"13",1976,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Family","hdecide","Conventional",0.431058177425838,0.388045715704658,0.474070639147018
"14",1976,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Family","hdecide","Feminist",0.568941822574162,0.525929360852982,0.611954284295342
"15",1976,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Family","home","Conventional",0.719058824211877,0.682418314173726,0.755699334250029
"16",1976,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Family","home","Feminist",0.280941175788123,0.244300665749971,0.317581685826274
"17",1976,"YES, MOST OF THE TIME","Public","jobopp","Conventional",0.219735503721113,0.167032312810169,0.272438694632057
"18",1976,"YES, MOST OF THE TIME","Public","jobopp","Feminist",0.780264496278887,0.727561305367943,0.832967687189831
"19",1976,"YES, MOST OF THE TIME","Public","lead","Conventional",0.168870802458802,0.121170901000346,0.216570703917259
"20",1976,"YES, MOST OF THE TIME","Public","lead","Feminist",0.831129197541198,0.783429296082741,0.878829098999654
"21",1976,"YES, MOST OF THE TIME","Family","hdecide","Conventional",0.385416664609038,0.320974567742453,0.449858761475622
"22",1976,"YES, MOST OF THE TIME","Family","hdecide","Feminist",0.614583335390962,0.550141238524378,0.679025432257547
"23",1976,"YES, MOST OF THE TIME","Family","home","Conventional",0.70498473963146,0.648307114869783,0.761662364393137
"24",1976,"YES, MOST OF THE TIME","Family","home","Feminist",0.29501526036854,0.238337635606863,0.351692885130217
"25",1976,"YES, ALL OR NEARLY ALL OF THE TIME","Public","jobopp","Conventional",0.194072658876372,0.145158075966458,0.242987241786286
"26",1976,"YES, ALL OR NEARLY ALL OF THE TIME","Public","jobopp","Feminist",0.805927341123628,0.757012758213714,0.854841924033542
"27",1976,"YES, ALL OR NEARLY ALL OF THE TIME","Public","lead","Conventional",0.177820268658665,0.131065381756067,0.224575155561263
"28",1976,"YES, ALL OR NEARLY ALL OF THE TIME","Public","lead","Feminist",0.822179731341335,0.775424844438737,0.868934618243933
"29",1976,"YES, ALL OR NEARLY ALL OF THE TIME","Family","hdecide","Conventional",0.457907160352368,0.401345120004248,0.514469200700487
"30",1976,"YES, ALL OR NEARLY ALL OF THE TIME","Family","hdecide","Feminist",0.542092839647632,0.485530799299513,0.598654879995752
"31",1976,"YES, ALL OR NEARLY ALL OF THE TIME","Family","home","Conventional",0.693116634855347,0.637370934232528,0.748862335478166
"32",1976,"YES, ALL OR NEARLY ALL OF THE TIME","Family","home","Feminist",0.306883365144653,0.251137664521834,0.362629065767472
"33",1977,"NO, NOT EMPLOYED","Public","jobopp","Conventional",0.230919219869517,0.202529959123776,0.259308480615257
"34",1977,"NO, NOT EMPLOYED","Public","jobopp","Feminist",0.769080780130483,0.740691519384743,0.797470040876224
"35",1977,"NO, NOT EMPLOYED","Public","lead","Conventional",0.161838440104298,0.137387576870722,0.186289303337875
"36",1977,"NO, NOT EMPLOYED","Public","lead","Feminist",0.838161559895702,0.813710696662125,0.862612423129278
"37",1977,"NO, NOT EMPLOYED","Family","hdecide","Conventional",0.408087091845731,0.374422641669347,0.441751542022115
"38",1977,"NO, NOT EMPLOYED","Family","hdecide","Feminist",0.591912908154269,0.558248457977884,0.625577358330653
"39",1977,"NO, NOT EMPLOYED","Family","home","Conventional",0.716155988252986,0.687309952399746,0.745002024106227
"40",1977,"NO, NOT EMPLOYED","Family","home","Feminist",0.283844011747014,0.254997975893773,0.312690047600254
"41",1977,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Public","jobopp","Conventional",0.234356782145771,0.200816806644584,0.267896757646959
"42",1977,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Public","jobopp","Feminist",0.765643217854229,0.732103242353041,0.799183193355416
"43",1977,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Public","lead","Conventional",0.161290322216973,0.133039770376773,0.189540874057172
"44",1977,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Public","lead","Feminist",0.838709677783027,0.810459125942828,0.866960229623227
"45",1977,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Family","hdecide","Conventional",0.403717993478362,0.367174082357695,0.440261904599029
"46",1977,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Family","hdecide","Feminist",0.596282006521638,0.559738095400971,0.632825917642305
"47",1977,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Family","home","Conventional",0.687524289906039,0.652443418162068,0.72260516165001
"48",1977,"YES, SOME OF THE TIME WHEN I WAS GROWING UP","Family","home","Feminist",0.312475710093961,0.27739483834999,0.347556581837932
"49",1977,"YES, MOST OF THE TIME","Public","jobopp","Conventional",0.211348684166991,0.166028241225037,0.256669127108946
"50",1977,"YES, MOST OF THE TIME","Public","jobopp","Feminist",0.788651315833009,0.743330872891054,0.833971758774963
"51",1977,"YES, MOST OF THE TIME","Public","lead","Conventional",0.118421052674576,0.0838162769311372,0.153025828418015
"52",1977,"YES, MOST OF THE TIME","Public","lead","Feminist",0.881578947325424,0.846974171581985,0.916183723068863
"53",1977,"YES, MOST OF THE TIME","Family","hdecide","Conventional",0.429335369565206,0.373338040476778,0.485332698653634
"54",1977,"YES, MOST OF THE TIME","Family","hdecide","Feminist",0.570664630434794,0.514667301346366,0.626661959523222
"55",1977,"YES, MOST OF THE TIME","Family","home","Conventional",0.624177633105891,0.570126354222496,0.678228911989285
"56",1977,"YES, MOST OF THE TIME","Family","home","Feminist",0.375822366894109,0.321771088010715,0.429873645777504
