"","year","religion","sphere","variable","val","prop","prop_low","prop_upp"
"1",1976,"NEVER","Public","jobopp","Conventional",0.217821782743043,0.156463612212367,0.279179953273719
"2",1976,"NEVER","Public","jobopp","Feminist",0.782178217256957,0.720820046726281,0.843536387787633
"3",1976,"NEVER","Public","lead","Conventional",0.158415841765014,0.105621172943921,0.211210510586107
"4",1976,"NEVER","Public","lead","Feminist",0.841584158234986,0.788789489413893,0.89437882705608
"5",1976,"NEVER","Family","hdecide","Conventional",0.353016689384002,0.291539812194387,0.414493566573617
"6",1976,"NEVER","Family","hdecide","Feminist",0.646983310615998,0.585506433426383,0.708460187805612
"7",1976,"NEVER","Family","home","Conventional",0.626591231028608,0.556340843176274,0.696841618880941
"8",1976,"NEVER","Family","home","Feminist",0.373408768971392,0.303158381119059,0.443659156823726
"9",1976,"RARELY","Public","jobopp","Conventional",0.226277372699432,0.190789357353883,0.261765388044981
"10",1976,"RARELY","Public","jobopp","Feminist",0.773722627300568,0.738234611955019,0.809210642646117
"11",1976,"RARELY","Public","lead","Conventional",0.187500000147289,0.154131878296078,0.220868121998501
"12",1976,"RARELY","Public","lead","Feminist",0.812499999852711,0.779131878001499,0.845868121703922
"13",1976,"RARELY","Family","hdecide","Conventional",0.429227940782209,0.387536347582204,0.470919533982215
"14",1976,"RARELY","Family","hdecide","Feminist",0.570772059217791,0.529080466017785,0.612463652417796
"15",1976,"RARELY","Family","home","Conventional",0.705748175753859,0.668221594899142,0.743274756608576
"16",1976,"RARELY","Family","home","Feminist",0.294251824246141,0.256725243391424,0.331778405100858
"17",1976,"ONCE OR TWICE A MONTH","Public","jobopp","Conventional",0.197012137939875,0.145255755048642,0.248768520831109
"18",1976,"ONCE OR TWICE A MONTH","Public","jobopp","Feminist",0.802987862060125,0.751231479168891,0.854744244951358
"19",1976,"ONCE OR TWICE A MONTH","Public","lead","Conventional",0.14845938410062,0.106089533216621,0.190829234984619
"20",1976,"ONCE OR TWICE A MONTH","Public","lead","Feminist",0.85154061589938,0.809170765015381,0.893910466783379
"21",1976,"ONCE OR TWICE A MONTH","Family","hdecide","Conventional",0.431506848092712,0.365623447104167,0.497390249081257
"22",1976,"ONCE OR TWICE A MONTH","Family","hdecide","Feminist",0.568493151907288,0.502609750918743,0.634376552895833
"23",1976,"ONCE OR TWICE A MONTH","Family","home","Conventional",0.700280111813059,0.645405785542395,0.755154438083723
"24",1976,"ONCE OR TWICE A MONTH","Family","home","Feminist",0.299719888186941,0.244845561916277,0.354594214457605
"25",1976,"ABOUT ONCE A WEEK OR MORE","Public","jobopp","Conventional",0.290010741281214,0.255237241516126,0.324784241046302
"26",1976,"ABOUT ONCE A WEEK OR MORE","Public","jobopp","Feminist",0.709989258718786,0.675215758953698,0.744762758483874
"27",1976,"ABOUT ONCE A WEEK OR MORE","Public","lead","Conventional",0.186179734844901,0.156201182198625,0.216158287491177
"28",1976,"ABOUT ONCE A WEEK OR MORE","Public","lead","Feminist",0.813820265155099,0.783841712508823,0.843798817801375
"29",1976,"ABOUT ONCE A WEEK OR MORE","Family","hdecide","Conventional",0.44475920684969,0.40668644954004,0.48283196415934
"30",1976,"ABOUT ONCE A WEEK OR MORE","Family","hdecide","Feminist",0.55524079315031,0.51716803584066,0.59331355045996
"31",1976,"ABOUT ONCE A WEEK OR MORE","Family","home","Conventional",0.757250268572933,0.726886333908831,0.787614203237036
"32",1976,"ABOUT ONCE A WEEK OR MORE","Family","home","Feminist",0.242749731427067,0.212385796762964,0.273113666091169
"33",1977,"NEVER","Public","jobopp","Conventional",0.204496787504319,0.153045739474216,0.255947835534422
"34",1977,"NEVER","Public","jobopp","Feminist",0.795503212495681,0.744052164465578,0.846954260525784
"35",1977,"NEVER","Public","lead","Conventional",0.168094218316117,0.122093687178995,0.214094749453239
"36",1977,"NEVER","Public","lead","Feminist",0.831905781683883,0.785905250546761,0.877906312821005
"37",1977,"NEVER","Family","hdecide","Conventional",0.413755457953139,0.350168720596773,0.477342195309504
"38",1977,"NEVER","Family","hdecide","Feminist",0.586244542046861,0.522657804690496,0.649831279403227
"39",1977,"NEVER","Family","home","Conventional",0.676659528638263,0.617454849648067,0.735864207628459
"40",1977,"NEVER","Family","home","Feminist",0.323340471361737,0.264135792371541,0.382545150351933
"41",1977,"RARELY","Public","jobopp","Conventional",0.224000000660636,0.192193744470653,0.255806256850619
"42",1977,"RARELY","Public","jobopp","Feminist",0.775999999339364,0.744193743149381,0.807806255529347
"43",1977,"RARELY","Public","lead","Conventional",0.132000000158368,0.107462380597376,0.15653761971936
"44",1977,"RARELY","Public","lead","Feminist",0.867999999841632,0.84346238028064,0.892537619402624
"45",1977,"RARELY","Family","hdecide","Conventional",0.413167617330979,0.377924571548536,0.448410663113421
"46",1977,"RARELY","Family","hdecide","Feminist",0.586832382669021,0.551589336886579,0.622075428451464
"47",1977,"RARELY","Family","home","Conventional",0.66836363692528,0.634259399220167,0.702467874630392
"48",1977,"RARELY","Family","home","Feminist",0.33163636307472,0.297532125369608,0.365740600779833
"49",1977,"ONCE OR TWICE A MONTH","Public","jobopp","Conventional",0.207534699386492,0.165393545641637,0.249675853131346
"50",1977,"ONCE OR TWICE A MONTH","Public","jobopp","Feminist",0.792465300613508,0.750324146868653,0.834606454358363
"51",1977,"ONCE OR TWICE A MONTH","Public","lead","Conventional",0.192333112587049,0.149697109087168,0.234969116086929
"52",1977,"ONCE OR TWICE A MONTH","Public","lead","Feminist",0.807666887412951,0.765030883913071,0.850302890912832
"53",1977,"ONCE OR TWICE A MONTH","Family","hdecide","Conventional",0.385806450224402,0.335142436723643,0.436470463725162
