"","year","gender","sphere","variable","val","prop","prop_low","prop_upp"
"1",1976,"Men","Public","jobopp","Conventional",0.361803084904695,0.328413863020999,0.395192306788391
"2",1976,"Men","Public","jobopp","Feminist",0.638196915095305,0.604807693211609,0.671586136979001
"3",1976,"Men","Public","lead","Conventional",0.282621589707556,0.251554655201425,0.313688524213686
"4",1976,"Men","Public","lead","Feminist",0.717378410292445,0.686311475786314,0.748445344798575
"5",1976,"Men","Employed Mothers","suffer","Conventional",0.841637011019828,0.817311110720787,0.86596291131887
"6",1976,"Men","Employed Mothers","suffer","Feminist",0.158362988980172,0.13403708868113,0.182688889279213
"7",1976,"Men","Employed Mothers","warm","Conventional",0.627224200056852,0.59371445787586,0.660733942237845
"8",1976,"Men","Employed Mothers","warm","Feminist",0.372775799943148,0.339266057762155,0.40628554212414
"9",1976,"Men","Family","hdecide","Conventional",0.563132042020159,0.529572073632629,0.596692010407689
"10",1976,"Men","Family","hdecide","Feminist",0.436867957979841,0.403307989592311,0.470427926367371
"11",1976,"Men","Family","home","Conventional",0.843712930603485,0.820221999044126,0.867203862162845
"12",1976,"Men","Family","home","Feminist",0.156287069396515,0.132796137837155,0.179778000955874
"13",1976,"Women","Public","jobopp","Conventional",0.132999114973388,0.109150658941255,0.156847571005521
"14",1976,"Women","Public","jobopp","Feminist",0.867000885026612,0.843152428994479,0.890849341058745
"15",1976,"Women","Public","lead","Conventional",0.0734296666624361,0.0553679070028697,0.0914914263220026
"16",1976,"Women","Public","lead","Feminist",0.926570333337564,0.908508573677997,0.94463209299713
"17",1976,"Women","Employed Mothers","suffer","Conventional",0.655558832268755,0.623972372005599,0.687145292531911
"18",1976,"Women","Employed Mothers","suffer","Feminist",0.344441167731245,0.312854707468089,0.376027627994401
"19",1976,"Women","Employed Mothers","warm","Conventional",0.3886759065151,0.355451714877591,0.421900098152608
"20",1976,"Women","Employed Mothers","warm","Feminist",0.6113240934849,0.578099901847391,0.644548285122409
"21",1976,"Women","Family","hdecide","Conventional",0.28652694627324,0.255380693883243,0.317673198663238
"22",1976,"Women","Family","hdecide","Feminist",0.71347305372676,0.682326801336762,0.744619306116757
"23",1976,"Women","Family","home","Conventional",0.592745502574616,0.560122661362362,0.625368343786871
"24",1976,"Women","Family","home","Feminist",0.407254497425384,0.374631656213129,0.439877338637638
"25",1977,"Men","Public","jobopp","Conventional",0.336168202204802,0.307621360318,0.364715044091605
"26",1977,"Men","Public","jobopp","Feminist",0.663831797795198,0.635284955908395,0.692378639682001
"27",1977,"Men","Public","lead","Conventional",0.255138199370929,0.228775769392384,0.281500629349473
"28",1977,"Men","Public","lead","Feminist",0.744861800629071,0.718499370650527,0.771224230607616
"29",1977,"Men","Employed Mothers","suffer","Conventional",0.821875737758991,0.799390317808357,0.844361157709625
"30",1977,"Men","Employed Mothers","suffer","Feminist",0.178124262241009,0.155638842290375,0.200609682191643
"31",1977,"Men","Employed Mothers","warm","Conventional",0.624379872081854,0.595718526579353,0.653041217584354
"32",1977,"Men","Employed Mothers","warm","Feminist",0.375620127918146,0.346958782415646,0.404281473420647
"33",1977,"Men","Family","hdecide","Conventional",0.557781919761323,0.52798476880461,0.587579070718036
